mode,load,0_efficientnet_b7-4,1_efficientnet_b5-2,2_resnet101-2
mps-uncap,0.6,114.73896265029909,61.350643634796114,37.68371582031251
mig,0.6,90.85141181945795,76.94052696228036,45.69900989532473
mps-uncap,0.7,127.66959190368654,100.68237304687463,61.488208770751946
mig,0.7,142.9007101058959,99.79920387268065,58.552169799804616
mps-uncap,0.8,208.41834068298337,195.22082328796364,128.78913879394537
mig,0.8,184.88568305969238,148.8255691528324,123.68339300155651
mps-uncap,0.9,637.9236936569215,240.08672714233396,139.7539138793945
mig,0.9,502.2323703765865,255.18815040588382,162.45888710021964
mps-uncap,1.0,2835.0237107276917,3503.592109680176,921.9586873054506
mig,1.0,1753.2003927230835,868.430607318878,421.75087213516235
mps-uncap,1.1,9295.657241344452,8903.690361976624,7207.4360871315
mig,1.1,6895.190343856811,6689.804329872131,7058.369319438934
mps-uncap,1.2,15507.695462703705,16088.438429832458,15228.048143386839
mig,1.2,15147.51268863678,17389.739747047424,16339.156761169434
mps-uncap,1.3,18417.548727989197,23034.0625,21441.46347045898
mig,1.3,19032.89792060852,20423.553771972656,21148.863620758053
