mode,load,0_efficientnet_b7-4,1_efficientnet_b5-2,2_resnet101-2
mps-uncap,0.6,182.27434158325195,104.87794876098633,91.9945240020752
mig,0.6,140.4862403869629,149.04022216796875,77.7900218963623
mps-uncap,0.7,188.0943775177002,169.47102546691895,85.88099479675293
mig,0.7,196.32911682128906,176.5270233154297,108.02626609802246
mps-uncap,0.8,286.2095832824707,296.4043617248535,188.95697593688965
mig,0.8,282.64832496643066,240.1905059814453,167.87314414978027
mps-uncap,0.9,791.8524742126465,305.48834800720215,205.1856517791748
mig,0.9,661.1928939819336,389.27340507507324,235.77332496643066
mps-uncap,1.0,2904.2458534240723,3548.7937927246094,989.020824432373
mig,1.0,1844.1250324249268,920.4022884368896,465.3606414794922
mps-uncap,1.1,9392.232418060303,8993.704319000244,7354.623794555664
mig,1.1,6970.688343048096,6786.940574645996,7259.738206863403
mps-uncap,1.2,15640.661239624023,16316.988468170166,15459.1543674469
mig,1.2,15324.183464050293,17621.273517608643,16408.19239616394
mps-uncap,1.3,18572.171211242676,23228.548765182495,21786.893844604492
mig,1.3,19237.488985061646,20659.624576568604,21356.430292129517
