mode,load,0_efficientnet_b7-4,1_efficientnet_b5-2,2_resnet101-2
mps-uncap,0.6,21.931767463684082,15.384793281555176,9.249687194824219
mig,0.6,21.962881088256836,15.336990356445312,9.39321517944336
mps-uncap,0.7,22.208452224731445,15.562772750854492,9.476184844970703
mig,0.7,21.70419692993164,15.518903732299805,9.344816207885742
mps-uncap,0.8,22.03989028930664,15.291929244995117,9.483575820922852
mig,0.8,21.84271812438965,15.542268753051758,9.383916854858398
mps-uncap,0.9,22.19676971435547,15.403032302856445,9.509682655334473
mig,0.9,21.492958068847656,15.31827449798584,9.373664855957031
mps-uncap,1.0,21.96049690246582,15.849113464355469,9.398937225341797
mig,1.0,21.664142608642578,15.175819396972656,9.322643280029297
mps-uncap,1.1,22.002816200256348,15.544891357421875,9.32919979095459
mig,1.1,21.79241180419922,15.358686447143555,9.387731552124023
mps-uncap,1.2,22.105693817138672,15.605449676513672,9.391546249389648
mig,1.2,21.844148635864258,15.386104583740234,9.497880935668945
mps-uncap,1.3,22.09031581878662,15.880584716796875,9.458065032958984
mig,1.3,21.75593376159668,15.282630920410156,9.50169563293457
