mode,load,0_efficientnet_b7-4,1_efficientnet_b5-2,2_resnet101-2
mps-uncap,0.6,136.76079511642456,76.81059360504146,46.77617073059083
mig,0.6,113.11370849609374,92.1404743194581,55.0298881530762
mps-uncap,0.7,149.74819183349612,116.22711181640584,70.93053817749022
mig,0.7,164.64303970336914,115.41345119476318,67.77675628662107
mps-uncap,0.8,230.36692619323728,210.71766614913912,138.1953716278077
mig,0.8,206.7179775238037,164.3880605697635,133.0996966362001
mps-uncap,0.9,660.032777786255,255.4583024978637,149.19838190078733
mig,0.9,523.6669254302975,270.58340549469006,171.8332028388977
mps-uncap,1.0,2856.8799090385437,3519.422149658203,931.6585326194764
mig,1.0,1774.842562675476,883.6257982254026,430.99609851837164
mps-uncap,1.1,9317.71654844284,8919.146203994751,7216.798484325409
mig,1.1,6916.996707916259,6705.108027458191,7067.763450145721
mps-uncap,1.2,15529.838092327118,16103.961563110353,15237.38700866699
mig,1.2,15169.353125095367,17405.06013393402,16348.719122409822
mps-uncap,1.3,18439.493370056152,23049.88254070282,21450.877809524532
mig,1.3,19054.63532924652,20438.95209312439,21158.666868209835
