mode,load,0_efficientnet_b7-4,1_efficientnet_b5-2,2_resnet101-2
mps-uncap,0.6,107.26402181742581,76.76424736000531,126.81919806877349
mig,0.6,106.68962781669919,75.57149516281517,129.94539430365958
mps-uncap,0.7,127.36043173270595,92.1775026810964,150.106161684204
mig,0.7,126.88465488951398,87.9540165130462,148.37776143850863
mps-uncap,0.8,142.4546996868562,102.86920204489434,172.88223901903166
mig,0.8,143.23246944409183,101.27325651495416,172.1085305324507
mps-uncap,0.9,164.45295411976363,116.37109373141173,188.73700935634793
mig,0.9,167.13757743950248,120.33579587536643,190.69989111811884
mps-uncap,1.0,181.11002855425411,125.66006968928824,209.53526802206898
mig,1.0,181.94531049757407,128.5495680887856,211.0425810136657
mps-uncap,1.1,181.1402455199602,128.13789477242665,212.81833912684365
mig,1.1,182.81304008468547,129.49933150456144,212.47561493441088
mps-uncap,1.2,180.38604095390065,127.42898324633887,211.76144012382082
mig,1.2,182.81084626167726,129.68587277713024,210.04528753558205
mps-uncap,1.3,180.55708595571346,125.43658947115547,210.00222814674103
mig,1.3,183.34831023876333,130.57288808085383,209.8985892564097
