mode,load,0_efficientnet_b6-16,1_mobilenet_v3_small-8,2_vgg19-4
mps-uncap,0.8,347.78993863583236,1021.1032667325504,460.6472625538712
mps-uncap,0.9,382.88715195761466,1140.7027186286352,521.1065660223649
mps-uncap,1.0,445.98971485429394,1194.2371312126363,580.8182674852535
mps-uncap,0.5,207.15036283080883,639.9748598424743,287.9888001135563
mps-uncap,0.6,260.5142765515663,739.2138489782799,345.98513121384815
mps-uncap,0.7,290.09925843263073,896.2958538600083,406.9507893139012
mps-uncap,0.1,40.76264340715961,130.81851785489724,61.47572332523778
mps-uncap,0.2,86.39258666791942,260.90432662499353,112.53048935572193
mps-uncap,0.3,140.76194764145413,377.61556190810717,169.28756073277282
mps-uncap,0.4,175.44858590385869,510.3500809575468,229.56457620714022
