mode,load,0_efficientnet_b6-16,1_mobilenet_v3_small-8,2_vgg19-4
mps-uncap,0.8,168.1234025955201,36.50617599487305,48.346722126007094
mps-uncap,0.9,317.48808860778826,108.86263847351074,96.02841854095455
mps-uncap,1.0,2397.583956718445,4198.602218627931,427.29412078857473
mps-uncap,0.5,70.56940078735352,20.274798870086666,18.667297363281246
mps-uncap,0.6,93.3150863647461,23.76370429992674,25.161786079406728
mps-uncap,0.7,113.12763452529929,28.743433952331547,28.285861015319824
mps-uncap,0.1,40.897874832153306,11.607837677001953,8.540630340576172
mps-uncap,0.2,47.11184501647949,13.982110023498535,9.529852867126463
mps-uncap,0.3,50.85568428039553,16.197786331176754,13.138144016265857
mps-uncap,0.4,84.24282550811756,18.490378856658943,15.817003250122072
