mode,load,0_mobilenet_v3_small-16,1_densenet169-4,2_efficientnet_b7-8
mps-uncap,0.6,7.409837245941162,19.787065982818604,26.58236026763916
mig,0.6,5.556190013885498,19.32344913482666,50.722951889038086
mps-uncap,0.7,7.254207134246837,19.272537231445312,26.478137969970692
mig,0.7,5.396413803100583,18.460135459899902,50.63905715942383
mps-uncap,0.8,7.1613192558288565,19.355173110961914,26.381969451904297
mig,0.8,5.307471752166746,18.38130950927734,50.46975135803222
mps-uncap,0.9,6.872601509094238,19.09010887145997,26.351759433746338
mig,0.9,5.170965194702152,18.440637588500977,50.368428230285645
mps-uncap,1.0,5.8415937423706055,20.466930866241444,25.99304437637329
mig,1.0,4.547119140625,18.37470531463623,50.37820816040039
mps-uncap,1.1,6.650872230529785,19.00648593902588,25.990591049194336
mig,1.1,4.49061393737793,18.05270195007324,50.3702449798584
mps-uncap,1.2,6.6573238372802725,18.958492279052738,25.525395870208747
mig,1.2,4.468679428100586,17.78285026550293,50.337538719177246
mps-uncap,1.3,6.672096252441404,18.983154296874996,25.53100824356079
mig,1.3,4.586963653564453,18.13230514526368,50.538504123687744
