mode,load,0_mobilenet_v3_small-16,1_densenet169-4,2_efficientnet_b7-8
mps-uncap,0.6,4.126787185668945,16.942977905273438,21.149873733520508
mig,0.6,4.039287567138672,16.857147216796875,47.983646392822266
mps-uncap,0.7,4.080295562744141,16.621828079223633,21.42643928527832
mig,0.7,4.069089889526367,16.367673873901367,48.005104064941406
mps-uncap,0.8,4.087924957275391,17.075300216674805,21.104812622070312
mig,0.8,3.9572715759277344,16.663789749145508,48.02536964416504
mps-uncap,0.9,4.110097885131836,16.857147216796875,21.20041847229004
mig,0.9,4.065275192260742,16.916990280151367,48.01774024963379
mps-uncap,1.0,4.360437393188477,16.793012619018555,21.6519832611084
mig,1.0,4.066228866577148,17.308712005615234,48.09260368347168
mps-uncap,1.1,4.45556640625,17.35711097717285,21.936655044555664
mig,1.1,4.176139831542969,16.852140426635742,48.15268516540527
mps-uncap,1.2,4.459142684936523,17.030000686645508,21.42190933227539
mig,1.2,4.314422607421875,17.73977279663086,48.226118087768555
mps-uncap,1.3,4.377126693725586,17.43483543395996,21.93903923034668
mig,1.3,4.478216171264648,17.006874084472656,48.16579818725586
