mode,load,0_mobilenet_v3_small-16,1_densenet169-4,2_efficientnet_b7-8
mps-uncap,0.6,4.281044006347656,17.464518547058105,22.72796630859375
mig,0.6,4.152774810791016,17.359256744384766,48.580169677734375
mps-uncap,0.7,4.218459129333496,17.054080963134766,22.91274070739746
mig,0.7,4.162788391113281,16.718626022338867,48.5529899597168
mps-uncap,0.8,4.202842712402344,17.386913299560547,22.861242294311523
mig,0.8,4.043340682983398,16.907453536987305,48.48766326904297
mps-uncap,0.9,4.211902618408203,17.058610916137695,23.0104923248291
mig,0.9,4.125833511352539,17.113685607910156,48.28786849975586
mps-uncap,1.0,4.151582717895508,16.961097717285156,23.578643798828125
mig,1.0,4.109621047973633,17.115354537963867,48.24328422546387
mps-uncap,1.1,4.209995269775391,17.230987548828125,23.166418075561523
mig,1.1,4.119396209716797,16.834020614624023,48.2175350189209
mps-uncap,1.2,4.216670989990234,17.03929901123047,23.16594123840332
mig,1.2,4.111289978027344,16.6018009185791,48.16102981567383
mps-uncap,1.3,4.181146621704102,17.111778259277344,23.25904369354248
mig,1.3,4.126548767089844,16.837120056152344,48.236846923828125
