mode,load,0_mobilenet_v3_small-16,1_densenet169-4,2_efficientnet_b7-8
mps-uncap,0.6,49.11065101623535,132.7219009399414,49.76058006286621
mig,0.6,33.707618713378906,100.94332695007324,346.47440910339355
mps-uncap,0.7,58.21585655212402,169.51584815979004,67.46912002563477
mig,0.7,38.489341735839844,189.37015533447266,427.2737503051758
mps-uncap,0.8,85.63494682312012,350.27098655700684,75.84071159362793
mig,0.8,54.52990531921387,239.78209495544434,635.1814270019531
mps-uncap,0.9,240.79442024230957,475.5713939666748,76.55954360961914
mig,0.9,114.4258975982666,578.8614749908447,1067.366361618042
mps-uncap,1.0,1468.9621925354004,4211.008071899414,94.35725212097168
mig,1.0,269.822359085083,2423.8877296447754,2621.260166168213
mps-uncap,1.1,13068.21870803833,11350.690126419067,105.0407886505127
mig,1.1,6121.404647827148,9222.34320640564,10354.745626449585
mps-uncap,1.2,19684.856176376343,17849.32017326355,130.04016876220703
mig,1.2,12599.627494812012,13279.004096984863,14378.856658935547
mps-uncap,1.3,25823.650360107422,23215.242862701416,160.10093688964844
mig,1.3,18783.962726593018,19450.870513916016,23791.539192199707
