mode,load,0_mobilenet_v3_small-16,1_densenet169-4,2_efficientnet_b7-8
mps-uncap,0.6,28.346564769744877,95.88111639022829,55.76515197753906
mig,0.6,23.78625631332398,88.89590740203857,222.25696563720697
mps-uncap,0.7,38.565921783447294,136.82206153869635,70.48419952392578
mig,0.7,29.706592559814347,125.12846469879152,357.37180709838844
mps-uncap,0.8,60.23127079010009,272.84485816955566,80.60693740844727
mig,0.8,38.547110557556124,195.06381034851037,543.4913539886475
mps-uncap,0.9,185.87288856506345,391.7035961151125,74.55452680587769
mig,0.9,74.77556228637714,530.544090270996,1009.1477155685423
mps-uncap,1.0,1418.5952711105347,4095.5285382270813,84.9043631553649
mig,1.0,240.42113304138186,2378.1518697738647,2441.574916839598
mps-uncap,1.1,12902.818713188171,11119.779915809631,104.91041183471684
mig,1.1,6001.688201427461,8960.777397155762,10290.351953506468
mps-uncap,1.2,19546.86846256256,17633.658256530765,115.75974225997936
mig,1.2,12447.041945457458,13055.755548477173,14316.667413711548
mps-uncap,1.3,25576.488232612603,23113.562660217285,139.37916040420538
mig,1.3,18633.1002998352,19291.24174118042,23588.52130174637
