mode,load,0_mobilenet_v3_small-16,1_densenet169-4,2_efficientnet_b7-8
mps-uncap,0.6,53.50661277770996,150.4063606262207,73.26912879943848
mig,0.6,37.770986557006836,118.01886558532715,395.8618640899658
mps-uncap,0.7,62.34169006347656,187.8488063812256,89.36691284179688
mig,0.7,42.67239570617676,206.36320114135742,476.57084465026855
mps-uncap,0.8,89.73431587219238,367.4654960632324,98.52337837219238
mig,0.8,58.52675437927246,257.2472095489502,683.5050582885742
mps-uncap,0.9,244.9653148651123,493.9122200012207,100.24261474609375
mig,0.9,118.6366081237793,595.982551574707,1116.684913635254
mps-uncap,1.0,1473.0801582336426,4227.916240692139,118.5908317565918
mig,1.0,274.1682529449463,2440.784692764282,2669.4469451904297
mps-uncap,1.1,13072.404384613037,11370.206117630005,129.1177272796631
mig,1.1,6125.805854797363,9239.051818847656,10402.855634689331
mps-uncap,1.2,19691.059112548828,17869.3368434906,153.3832550048828
mig,1.2,12604.140758514404,13296.54049873352,14426.921844482422
mps-uncap,1.3,25836.976528167725,23233.0539226532,183.90345573425293
mig,1.3,18791.42737388611,19471.070051193237,23840.49367904663
