mode,load,0_mobilenet_v3_small-16,1_densenet169-4,2_efficientnet_b7-8
mps-uncap,0.6,0.011205673217773438,0.014543533325195312,0.01239776611328125
mig,0.6,0.011682510375976562,0.014543533325195312,0.014066696166992188
mps-uncap,0.7,0.011920928955078125,0.014066696166992188,0.014781951904296875
mig,0.7,0.011682510375976562,0.014781951904296875,0.014781951904296875
mps-uncap,0.8,0.011444091796875,0.014781951904296875,0.014781951904296875
mig,0.8,0.010967254638671875,0.014543533325195312,0.014781951904296875
mps-uncap,0.9,0.012636184692382812,0.01430511474609375,0.014781951904296875
mig,0.9,0.011682510375976562,0.014543533325195312,0.015735626220703125
mps-uncap,1.0,0.015497207641601562,0.015020370483398438,0.014781951904296875
mig,1.0,0.011920928955078125,0.016450881958007812,0.0152587890625
mps-uncap,1.1,0.016450881958007812,0.0152587890625,0.014543533325195312
mig,1.1,0.014543533325195312,0.0152587890625,0.018835067749023438
mps-uncap,1.2,0.01621246337890625,0.015974044799804688,0.014543533325195312
mig,1.2,0.0152587890625,0.023365020751953125,0.02002716064453125
mps-uncap,1.3,0.016927719116210938,0.019311904907226562,0.013828277587890625
mig,1.3,0.014543533325195312,0.019073486328125,0.021219253540039062
