mode,load,0_mobilenet_v3_small-16,1_densenet169-4,2_efficientnet_b7-8
mps-uncap,0.6,10.578632354736335,41.49398803710938,16.404151916503906
mig,0.6,9.081292152404785,37.996244430542006,102.77948379516604
mps-uncap,0.7,16.646146774291992,57.039690017700195,21.632337570190426
mig,0.7,12.85195350646973,56.858539581298835,163.9237403869629
mps-uncap,0.8,25.134277343750004,117.437219619751,22.74298667907715
mig,0.8,18.719244003295902,79.50685024261475,258.38637351989746
mps-uncap,0.9,80.72743415832518,198.29869270324718,26.71864032745361
mig,0.9,38.409900665283224,325.4352092742922,440.60206413269043
mps-uncap,1.0,1315.1199579238892,3330.791115760803,31.837892532348643
mig,1.0,178.51285934448242,2239.076614379883,1911.637783050538
mps-uncap,1.1,11514.849758148193,10104.749298095703,38.698768615722656
mig,1.1,5545.925712585449,7502.122926712036,9686.569023132324
mps-uncap,1.2,17691.56985282898,15779.420089721682,49.767661094665506
mig,1.2,11249.366569519045,11790.712642669678,12637.432098388674
mps-uncap,1.3,23275.927782058716,21566.416549682617,52.87137031555176
mig,1.3,16693.823432922363,17888.175010681152,21392.46106147766
