mode,load,0_mobilenet_v3_small-16,1_densenet169-4,2_efficientnet_b7-8
mps-uncap,0.6,23.805665969848636,78.59460592269903,33.65445137023926
mig,0.6,19.64271306991578,71.18780612945555,173.79130363464353
mps-uncap,0.7,33.99620056152371,120.14561653137216,47.99656867980939
mig,0.7,25.502042770385675,108.6380672454834,308.80641937255837
mps-uncap,0.8,55.83426713943481,254.25657272338864,57.895660400390625
mig,0.8,34.526536464691134,178.30445289611774,495.2981185913086
mps-uncap,0.9,181.5500164031978,374.79859352111833,50.83575010299679
mig,0.9,70.48624038696305,513.4977531433104,959.7604990005491
mps-uncap,1.0,1414.347445964813,4078.7217950820923,61.39145851135254
mig,1.0,236.3156509399414,2361.0543489456177,2393.158464431761
mps-uncap,1.1,12898.625633716583,11102.595615386963,81.54411315917976
mig,1.1,5997.529418468476,8943.959684371946,10242.07770347595
mps-uncap,1.2,19542.338490486145,17615.443677902225,92.58134603500378
mig,1.2,12442.990000247955,13039.235954284668,14268.547582626343
mps-uncap,1.3,25571.743106842034,23096.5518951416,116.23972654342663
mig,1.3,18629.0537071228,19274.461317062378,23540.104699134827
