mode,load,0_mobilenet_v3_small-16,1_densenet169-4,2_efficientnet_b7-8
mps-uncap,0.6,14.6026611328125,21.916627883911133,28.027057647705078
mig,0.6,16.866445541381836,28.31554412841797,51.61881446838379
mps-uncap,0.7,14.59813117980957,29.22821044921875,29.703140258789062
mig,0.7,17.590999603271484,28.226613998413086,59.404850006103516
mps-uncap,0.8,15.408039093017578,22.213459014892578,27.630329132080078
mig,0.8,17.90452003479004,20.507335662841797,61.820030212402344
mps-uncap,0.9,10.62631607055664,20.981788635253906,28.658628463745117
mig,0.9,10.761022567749023,27.46129035949707,62.15620040893555
mps-uncap,1.0,15.071392059326172,22.264480590820312,32.5922966003418
mig,1.0,18.450260162353516,26.530742645263672,60.50920486450195
mps-uncap,1.1,18.140077590942383,23.967981338500977,27.680397033691406
mig,1.1,16.974687576293945,28.42426300048828,63.81869316101074
mps-uncap,1.2,12.657880783081055,20.60675621032715,28.3663272857666
mig,1.2,14.816045761108398,26.262998580932617,62.46232986450195
mps-uncap,1.3,13.326168060302734,21.743059158325195,35.45880317687988
mig,1.3,11.877298355102539,26.91054344177246,59.56220626831055
