mode,load,0_mobilenet_v3_small-16,1_densenet169-4,2_efficientnet_b7-8
mps-uncap,0.6,5.059027671813966,18.579411506652832,24.63698387145996
mig,0.6,4.619288444519043,18.155574798583984,49.6762752532959
mps-uncap,0.7,5.014300346374512,18.160152435302734,24.74203109741211
mig,0.7,4.485368728637695,17.45624542236328,49.61276054382324
mps-uncap,0.8,5.0864458084106445,18.443965911865234,24.700403213500977
mig,0.8,4.286050796508789,17.496562004089355,49.4783878326416
mps-uncap,0.9,5.129051208496094,18.251562118530273,24.498414993286133
mig,0.9,4.313468933105469,17.59815216064453,49.506187438964844
mps-uncap,1.0,4.727697372436525,19.416356086730957,24.56345558166504
mig,1.0,4.207372665405273,17.39788055419922,49.466705322265625
mps-uncap,1.1,5.254006385803223,18.493127822875977,24.03559684753418
mig,1.1,4.215478897094727,17.178058624267578,49.4081974029541
mps-uncap,1.2,5.420112609863282,18.418550491333008,23.987865447998047
mig,1.2,4.207372665405273,16.876745223999023,49.36203956604004
mps-uncap,1.3,5.528688430786133,18.473339080810547,24.08924102783203
mig,1.3,4.242897033691406,17.292022705078125,49.56328868865967
