mode,load,0_mobilenet_v3_small-16,1_densenet169-4,2_efficientnet_b7-8
mps-uncap,0.6,15.029764175415044,58.999371528625495,38.79570960998535
mig,0.6,13.249349594116211,55.378532409667976,151.83739662170413
mps-uncap,0.7,21.127700805664062,74.0532398223877,44.23213005065918
mig,0.7,17.045211791992188,73.51007461547853,212.45574951171875
mps-uncap,0.8,29.547905921936042,134.74273681640625,45.94159126281738
mig,0.8,22.80311584472657,96.28641605377197,307.5756072998047
mps-uncap,0.9,85.24465560913086,216.54462814331063,49.45008754730224
mig,0.9,42.63906478881843,342.7562713623047,488.9538288116455
mps-uncap,1.0,1319.2820787429812,3348.2034921646114,55.14988899230959
mig,1.0,182.63330459594727,2256.2077045440674,1959.7716331481943
mps-uncap,1.1,11519.043254852295,10121.998405456543,61.931610107421875
mig,1.1,5550.077939033508,7518.9770221710205,9734.757375717163
mps-uncap,1.2,17695.895338058475,15796.357250213625,72.82845973968506
mig,1.2,11253.461027145388,11807.392168045044,12685.682487487795
mps-uncap,1.3,23280.05337715149,21583.512496948242,76.04210376739506
mig,1.3,16697.917127609253,17905.03764152527,21441.487550735474
