mode,load,0_mobilenet_v3_small-16,1_densenet169-4,2_efficientnet_b7-8
mps-uncap,0.6,2271.368638381977,141.87966985888121,91.33272965247023
mig,0.6,2301.995218737418,142.30780509755826,94.42922954576649
mps-uncap,0.7,2696.287630927393,165.17619534871432,114.04644615887253
mig,0.7,2608.724935453448,168.12849913625112,115.49818776333916
mps-uncap,0.8,3023.320190165402,192.72889411776714,130.55405555529302
mig,0.8,3006.721395498496,192.26277165841736,130.8644731739407
mps-uncap,0.9,3363.963093208967,206.65460538476435,146.35029962341073
mig,0.9,3417.9279988982307,216.80796556185587,147.76815792785402
mps-uncap,1.0,3724.7188937383476,224.19602169777053,159.4694884364383
mig,1.0,3787.668154331136,232.83053096674803,156.0151788367708
mps-uncap,1.1,3597.2741240992873,227.99700364576262,173.55532358326244
mig,1.1,3858.041785688914,236.20528861550684,164.98682357827803
mps-uncap,1.2,3570.139597290313,230.10962403877548,204.09533359592123
mig,1.2,3868.267408633304,239.8521258889254,165.3493281501018
mps-uncap,1.3,3579.898062296844,229.2769548503417,217.06381565030767
mig,1.3,3848.1293119631496,235.79641907501338,164.74516881929324
