mode,load,0_mobilenet_v3_small-16,1_densenet169-4,2_efficientnet_b7-8
mps-uncap,0.6,4.092693328857422,16.911029815673828,21.05402946472168
mig,0.6,4.005670547485352,16.804218292236328,47.92022705078125
mps-uncap,0.7,4.04667854309082,16.53575897216797,21.41118049621582
mig,0.7,4.03141975402832,16.24608039855957,47.9583740234375
mps-uncap,0.8,4.049062728881836,16.974925994873047,20.831584930419922
mig,0.8,3.9262771606445312,16.56508445739746,47.92213439941406
mps-uncap,0.9,4.056215286254883,16.688108444213867,21.02065086364746
mig,0.9,4.020929336547852,16.810178756713867,47.94764518737793
mps-uncap,1.0,4.044055938720703,16.653060913085938,21.091938018798828
mig,1.0,4.022121429443359,16.77227020263672,48.007965087890625
mps-uncap,1.1,4.085779190063477,16.937971115112305,21.40188217163086
mig,1.1,4.030942916870117,16.634702682495117,48.00128936767578
mps-uncap,1.2,4.078388214111328,16.74485206604004,21.211624145507812
mig,1.2,4.015445709228516,16.41702651977539,47.94120788574219
mps-uncap,1.3,4.028081893920898,16.819000244140625,21.82149887084961
mig,1.3,4.024744033813477,16.611814498901367,47.99342155456543
