mode,load,0_densenet121-4,1_densenet201-2,2_resnet34-2
mps-uncap,0.8,12.012243270874023,20.954489707946777,3.4956932067871094
mps-uncap,0.9,12.055397033691406,20.755767822265625,3.4568309783935547
mps-uncap,1.0,11.975526809692383,20.74146270751953,3.4952163696289062
mps-uncap,0.5,12.076973915100098,21.067380905151367,3.4780502319335938
mps-uncap,0.6,11.982917785644531,20.845413208007812,3.4949779510498047
mps-uncap,0.7,12.052297592163086,20.98703384399414,3.4406185150146484
mps-uncap,0.1,14.451980590820312,22.380590438842773,7.2013139724731445
mps-uncap,0.2,12.506723403930664,21.456241607666016,4.152059555053711
mps-uncap,0.3,12.278437614440918,21.294593811035156,3.5701990127563477
mps-uncap,0.4,12.196540832519531,21.17753028869629,3.4990310668945312
