mode,load,0_inception_v3-4,1_squeezenet1_0-32,2_squeezenet1_0-4
mps-uncap,0.8,20.162582397460938,12.126922607421875,7.113933563232422
mps-uncap,0.9,20.273685455322266,11.645793914794922,7.817268371582031
mps-uncap,1.0,19.277572631835938,11.754035949707031,7.017850875854492
mps-uncap,0.5,18.27263832092285,11.044502258300781,7.8868865966796875
mps-uncap,0.6,19.38152313232422,11.717557907104492,8.081912994384766
mps-uncap,0.7,16.2966251373291,11.693000793457031,7.838726043701172
mps-uncap,0.1,24.039268493652344,14.923572540283203,8.265972137451172
mps-uncap,0.2,22.135496139526367,12.462615966796875,8.862495422363281
mps-uncap,0.3,24.428844451904297,14.752626419067383,11.22140884399414
mps-uncap,0.4,21.230697631835938,12.910127639770508,8.748769760131836
