mode,load,0_inception_v3-4,1_squeezenet1_0-32,2_squeezenet1_0-4
mps-uncap,0.8,8.699417114257812,6.25157356262207,1.7325878143310547
mps-uncap,0.9,9.005308151245117,6.608486175537109,1.733541488647461
mps-uncap,1.0,12.435674667358398,6.676435470581055,1.7879009246826172
mps-uncap,0.5,8.532285690307617,6.2160491943359375,1.7325878143310547
mps-uncap,0.6,8.484363555908203,6.214380264282227,1.718759536743164
mps-uncap,0.7,8.588314056396484,6.227016448974609,1.730203628540039
mps-uncap,0.1,9.53531265258789,6.266117095947266,2.485990524291992
mps-uncap,0.2,8.623361587524414,6.247282028198242,2.0449161529541016
mps-uncap,0.3,8.587360382080078,6.226539611816406,1.752614974975586
mps-uncap,0.4,8.676767349243164,6.215572357177734,1.7402172088623047
