mode,load,0_inception_v3-4,1_squeezenet1_0-32,2_squeezenet1_0-4
mps-uncap,0.8,8.624792098999023,6.22868537902832,1.7011165618896484
mps-uncap,0.9,8.64100456237793,6.325244903564453,1.7080307006835938
mps-uncap,1.0,9.130477905273438,6.43157958984375,1.7321109771728516
mps-uncap,0.5,8.503198623657227,6.201267242431641,1.7125606536865234
mps-uncap,0.6,8.424997329711914,6.194591522216797,1.6999244689941406
mps-uncap,0.7,8.524656295776367,6.205558776855469,1.6977787017822266
mps-uncap,0.1,9.494543075561523,6.224393844604492,2.4559497833251953
mps-uncap,0.2,8.544445037841797,6.222963333129883,2.030611038208008
mps-uncap,0.3,8.440971374511719,6.209850311279297,1.7404556274414062
mps-uncap,0.4,8.645296096801758,6.197929382324219,1.7163753509521484
