mode,load,0_inception_v3-4,1_squeezenet1_0-32,2_squeezenet1_0-4
mps-uncap,0.8,169.785737991333,242.99168586730957,41.545867919921875
mps-uncap,0.9,256.95323944091797,458.1730365753174,288.18702697753906
mps-uncap,1.0,1181.6983222961426,9985.65125465393,151.45111083984375
mps-uncap,0.5,47.47414588928223,44.34037208557129,16.700029373168945
mps-uncap,0.6,75.39176940917969,82.68308639526367,25.5279541015625
mps-uncap,0.7,77.42071151733398,107.74612426757812,32.03558921813965
mps-uncap,0.1,19.359588623046875,19.291162490844727,5.5751800537109375
mps-uncap,0.2,29.248952865600586,21.258831024169922,11.662960052490234
mps-uncap,0.3,39.592742919921875,23.756027221679688,13.870716094970703
mps-uncap,0.4,43.20859909057617,40.05265235900879,14.063835144042969
