mode,load,0_inception_v3-4,1_squeezenet1_0-32,2_squeezenet1_0-4
mps-uncap,0.8,184.5834255218506,250.32401084899902,46.869516372680664
mps-uncap,0.9,274.1703987121582,466.052770614624,295.61328887939453
mps-uncap,1.0,1197.2293853759766,9993.616580963135,153.883695602417
mps-uncap,0.5,60.8975887298584,53.63035202026367,20.88332176208496
mps-uncap,0.6,93.74856948852539,90.23213386535645,29.28781509399414
mps-uncap,0.7,89.8597240447998,115.7078742980957,38.039445877075195
mps-uncap,0.1,39.40987586975098,29.59442138671875,10.300874710083008
mps-uncap,0.2,43.80440711975098,29.78682518005371,16.213417053222656
mps-uncap,0.3,48.12335968017578,30.002593994140625,18.403053283691406
mps-uncap,0.4,57.92570114135742,47.362327575683594,18.436431884765625
