mode,load,0_inception_v3-4,1_squeezenet1_0-32,2_squeezenet1_0-4
mps-uncap,0.8,17.946064472198486,10.979933738708494,6.663725376129151
mps-uncap,0.9,19.501495361328125,10.317020416259766,7.403755187988283
mps-uncap,1.0,17.922806739807132,8.538684844970703,6.485223770141602
mps-uncap,0.5,17.160034179687504,10.484766960144041,7.04737901687622
mps-uncap,0.6,17.65151023864746,10.562288761138914,7.157602310180664
mps-uncap,0.7,15.983388423919674,10.857167243957521,7.147369384765626
mps-uncap,0.1,21.751999855041504,12.112059593200682,7.144069671630864
mps-uncap,0.2,21.07475996017456,10.445499420166016,6.700277328491209
mps-uncap,0.3,20.84404706954956,10.72031021118164,6.907439231872559
mps-uncap,0.4,18.50752830505371,10.971989631652832,6.614279747009278
