mode,load,0_inception_v3-4,1_squeezenet1_0-32,2_squeezenet1_0-4
mps-uncap,0.8,191.6215569172731,3682.8498292954464,692.2939821024733
mps-uncap,0.9,211.10306055316667,4086.7973354952787,784.603194910547
mps-uncap,1.0,242.63679905045544,3925.3623405794483,859.5764375796308
mps-uncap,0.5,122.13216511634144,2282.728078800509,435.6817716519821
mps-uncap,0.6,141.3946466883984,2803.373233888505,509.9545882041379
mps-uncap,0.7,161.11797170805352,3207.9339658019635,606.4542724535017
mps-uncap,0.1,22.873767866092656,434.8976234983152,83.34717253751118
mps-uncap,0.2,48.68640017141071,906.4149649629742,177.94310141210642
mps-uncap,0.3,71.65381708629783,1356.2359722718058,259.2177265305824
mps-uncap,0.4,96.41759795409054,1878.773947951551,341.2857645068638
