mode,load,0_alexnet-8,1_inception_v3-2,2_resnet18-16
mps-uncap,0.8,1.0704994201660156,8.627176284790039,2.433300018310547
mps-uncap,0.9,1.1441707611083984,8.707523345947266,2.518177032470703
mps-uncap,1.0,1.1467933654785156,8.565902709960938,2.786874771118164
mps-uncap,0.5,1.0356903076171875,8.594274520874023,2.404928207397461
mps-uncap,0.6,1.0051727294921875,8.61048698425293,2.3975372314453125
mps-uncap,0.7,1.0418891906738281,8.542299270629883,2.4111270904541016
mps-uncap,0.1,1.1434555053710938,8.647680282592773,2.750873565673828
mps-uncap,0.2,1.0802745819091797,8.50677490234375,2.5911331176757812
mps-uncap,0.3,1.0738372802734375,8.585214614868164,2.5587081909179688
mps-uncap,0.4,1.0590553283691406,8.506536483764648,2.399444580078125
