mode,load,0_alexnet-8,1_inception_v3-2,2_resnet18-16
mps-uncap,0.8,3.142366409301758,10.50817489624023,5.63543081283569
mps-uncap,0.9,3.090610504150389,10.766372680664062,5.563259124755859
mps-uncap,1.0,2.749757766723633,12.488429546356198,4.623568058013915
mps-uncap,0.5,3.6814880371093746,12.140722274780275,7.149448394775389
mps-uncap,0.6,3.2535076141357404,12.032546997070312,7.123470306396492
mps-uncap,0.7,3.0458378791809104,12.025680541992188,6.949722766876221
mps-uncap,0.1,3.8669681549072252,20.993442535400387,7.2428274154663095
mps-uncap,0.2,3.8350105285644513,20.395398139953613,6.763403415679929
mps-uncap,0.3,3.6681509017944287,17.02460289001465,7.370853424072261
mps-uncap,0.4,4.1259002685546875,15.929856300353995,7.7132177352905265
