mode,load,0_alexnet-8,1_inception_v3-2,2_resnet18-16
mps-uncap,0.8,29.310894012451207,94.49513912200925,71.80453777313224
mps-uncap,0.9,435.2681159973138,243.9473628997803,1101.923108100891
mps-uncap,1.0,6004.412364959717,9871.419415473938,207.6843309402465
mps-uncap,0.5,8.12524795532226,39.201755523681655,16.270885467529293
mps-uncap,0.6,8.438348770141596,51.182456016540534,18.54086875915531
mps-uncap,0.7,12.100355625152604,78.32214355468751,28.72103452682495
mps-uncap,0.1,4.866261482238764,36.859474182128906,9.289989471435549
mps-uncap,0.2,5.228872299194333,36.582221984863224,11.148769855499252
mps-uncap,0.3,5.863614082336424,33.27593803405762,12.593555450439453
mps-uncap,0.4,7.040710449218751,32.52645492553703,13.086426258087155
