mode,load,0_alexnet-8,1_inception_v3-2,2_resnet18-16
mps-uncap,0.8,2.4666786193847656,10.011053085327148,4.802060127258302
mps-uncap,0.9,2.5069713592529297,10.278081893920898,4.9239397048950195
mps-uncap,1.0,2.4285316467285156,11.862039566040039,4.3035268783569345
mps-uncap,0.5,2.193164825439453,10.442256927490234,4.6230792999267605
mps-uncap,0.6,2.081155776977539,10.606670379638672,4.5848846435546875
mps-uncap,0.7,2.198457717895508,10.791969299316406,4.737138748168945
mps-uncap,0.1,2.458953857421875,20.172739028930664,5.491852760314941
mps-uncap,0.2,2.330923080444336,16.648435592651364,5.089426040649415
mps-uncap,0.3,2.179193496704101,15.40946960449219,5.210638046264648
mps-uncap,0.4,2.261066436767578,11.576128005981445,4.978418350219725
