mode,load,0_alexnet-8,1_inception_v3-2,2_resnet18-16
mps-uncap,0.8,1.0845661163330078,8.663415908813477,2.4471282958984375
mps-uncap,0.9,1.2578964233398438,8.825540542602539,3.299236297607422
mps-uncap,1.0,1.24359130859375,9.242057800292969,3.5359859466552734
mps-uncap,0.5,1.0552406311035156,8.627653121948242,2.4254322052001953
mps-uncap,0.6,1.0180473327636719,8.654117584228516,2.4383068084716797
mps-uncap,0.7,1.0533332824707031,8.584260940551758,2.4268627166748047
mps-uncap,0.1,1.157999038696289,8.831501007080078,2.7647018432617188
mps-uncap,0.2,1.094818115234375,8.558273315429688,2.610921859741211
mps-uncap,0.3,1.088857650756836,8.627891540527344,2.580881118774414
mps-uncap,0.4,1.0731220245361328,8.541345596313477,2.421855926513672
