mode,load,0_alexnet-8,1_inception_v3-2,2_resnet18-16
mps-uncap,0.8,4.970550537109375,21.549701690673828,11.469721794128418
mps-uncap,0.9,103.61289978027344,60.3482723236084,461.44914627075195
mps-uncap,1.0,3347.309112548828,5180.4903745651245,61.774373054504395
mps-uncap,0.5,1.8444061279296875,10.965347290039062,4.191398620605469
mps-uncap,0.6,1.943349838256836,13.536930084228516,4.827976226806641
mps-uncap,0.7,2.542734146118164,16.861438751220703,6.550312042236328
mps-uncap,0.1,1.8715858459472656,17.440319061279297,4.605293273925781
mps-uncap,0.2,1.8095970153808594,15.186190605163574,4.445433616638184
mps-uncap,0.3,1.7762184143066406,12.054681777954102,4.359960556030273
mps-uncap,0.4,1.7566680908203125,11.113405227661133,4.1484832763671875
