mode,load,0_alexnet-8,1_inception_v3-2,2_resnet18-16
mps-uncap,0.8,1.7380714416503906,9.478092193603516,4.349112510681152
mps-uncap,0.9,1.8084049224853516,9.769678115844727,4.53948974609375
mps-uncap,1.0,1.837015151977539,11.232852935791016,4.005551338195801
mps-uncap,0.5,1.4629364013671875,9.173154830932617,3.51715087890625
mps-uncap,0.6,1.4078617095947266,9.383916854858398,3.602743148803711
mps-uncap,0.7,1.546621322631836,9.582996368408203,3.9021968841552734
mps-uncap,0.1,1.7952919006347656,16.276836395263672,4.535794258117676
mps-uncap,0.2,1.760244369506836,12.969136238098145,4.307031631469727
mps-uncap,0.3,1.5742778778076172,10.429620742797852,4.059314727783203
mps-uncap,0.4,1.4939308166503906,9.43613052368164,3.6509037017822266
