mode,load,0_alexnet-8,1_inception_v3-2,2_resnet18-16
mps-uncap,0.8,54.49056625366211,124.4649887084961,102.96916961669922
mps-uncap,0.9,491.9552803039551,272.799015045166,1126.375436782837
mps-uncap,1.0,6074.371099472046,9959.60259437561,241.81723594665527
mps-uncap,0.5,12.854576110839844,43.92743110656738,21.069049835205078
mps-uncap,0.6,16.993284225463867,61.89846992492676,28.25188636779785
mps-uncap,0.7,20.437955856323242,105.20434379577637,43.840646743774414
mps-uncap,0.1,5.793094635009766,32.72819519042969,6.801128387451172
mps-uncap,0.2,13.101577758789062,37.25409507751465,12.280464172363281
mps-uncap,0.3,14.522552490234375,44.08860206604004,11.749505996704102
mps-uncap,0.4,16.326427459716797,52.42633819580078,13.975858688354492
