mode,load,0_alexnet-8,1_inception_v3-2,2_resnet18-16
mps-uncap,0.8,3655.7495674983065,167.57699121741513,3150.9855376796245
mps-uncap,0.9,4105.489794740253,191.10358014785353,3486.2242396290153
mps-uncap,1.0,4130.868174550634,178.65013791703194,3871.3853804785454
mps-uncap,0.5,2307.7610484448924,104.846106698582,1918.654268183748
mps-uncap,0.6,2799.7222116229045,123.1203365409414,2362.8940028597613
mps-uncap,0.7,3292.810619472177,143.5212848588116,2721.5557396566974
mps-uncap,0.1,457.50884042778677,20.216030523904887,388.80802743636315
mps-uncap,0.2,922.1442127347515,42.109391549327896,761.7358110025912
mps-uncap,0.3,1379.4345520637212,61.83984868754286,1209.6407029481898
mps-uncap,0.4,1838.5011150196383,85.64507731128487,1543.6008693735525
