mode,load,0_alexnet-8,1_inception_v3-2,2_resnet18-16
mps-uncap,0.8,13.352632522583008,20.07126808166504,16.29352569580078
mps-uncap,0.9,13.055801391601562,16.22176170349121,15.017032623291016
mps-uncap,1.0,15.557050704956055,21.09360694885254,16.8001651763916
mps-uncap,0.5,6.5212249755859375,16.367673873901367,12.501955032348633
mps-uncap,0.6,10.997295379638672,13.410091400146484,8.783102035522461
mps-uncap,0.7,6.956338882446289,17.9746150970459,10.280370712280273
mps-uncap,0.1,16.414165496826172,24.29986000061035,9.534358978271484
mps-uncap,0.2,12.896060943603516,24.658203125,8.150577545166016
mps-uncap,0.3,14.76144790649414,20.783424377441406,9.683609008789062
mps-uncap,0.4,16.033411026000977,20.630598068237305,14.23954963684082
