mode,load,0_resnet152-16,1_resnet152-16,2_vgg16-8
mps-uncap,0.8,14.770269393920898,15.13814926147461,5.6705474853515625
mps-uncap,0.9,15.391826629638672,15.74254035949707,5.755424499511719
mps-uncap,1.0,15.78068733215332,25.348186492919922,5.975961685180664
mps-uncap,0.5,14.702796936035156,14.778614044189453,5.605936050415039
mps-uncap,0.6,14.766931533813477,14.668941497802734,5.610466003417969
mps-uncap,0.7,14.777660369873047,14.865636825561523,5.617856979370117
mps-uncap,0.1,15.886068344116211,15.711307525634766,5.667924880981445
mps-uncap,0.2,15.82193374633789,14.809370040893555,5.642890930175781
mps-uncap,0.3,14.768362045288086,14.730215072631836,5.585670471191406
mps-uncap,0.4,14.67752456665039,14.768362045288086,5.585670471191406
