mode,load,0_densenet121-16,1_densenet161-16,2_densenet201-32
mps-uncap,0.8,58.60018730163574,104.92608547210693,173.9606857299805
mps-uncap,0.9,175.40454864501953,284.33742523193393,260.93149185180664
mps-uncap,1.0,508.8740587234497,480.39054870605474,2105.4182052612305
mps-uncap,0.5,31.184911727905273,53.133583068847656,69.06042098999022
mps-uncap,0.6,36.73276901245117,65.02113342285158,88.61017227172852
mps-uncap,0.7,45.172643661499016,74.55110549926758,106.50694370269775
mps-uncap,0.1,17.30699539184571,24.88088607788086,33.62278938293457
mps-uncap,0.2,20.14031410217285,31.947469711303718,41.753625869751
mps-uncap,0.3,25.51748752593994,34.349918365478516,47.838258743286126
mps-uncap,0.4,28.647041320800785,41.71857833862304,55.18805980682373
