mode,load,0_densenet161-16,1_efficientnet_b5-8,2_mobilenet_v3_small-16
mps-uncap,0.8,149.22649860382077,143.12601089477545,53.60305309295655
mps-uncap,0.9,316.3048028945922,684.5852136611938,1546.0248470306396
mps-uncap,1.0,1840.1760578155518,5793.033289909363,7816.988515853883
mps-uncap,0.5,58.7125062942505,36.58580780029297,13.457059860229487
mps-uncap,0.6,66.33758544921875,47.39046096801758,16.468429565429684
mps-uncap,0.7,102.82504558563232,68.29938888549802,22.56336212158203
mps-uncap,0.1,36.57026290893555,34.389829635620124,14.048671722412118
mps-uncap,0.2,35.63809394836426,30.34133911132812,15.307903289794922
mps-uncap,0.3,39.618635177612326,28.730773925781254,13.094663619995123
mps-uncap,0.4,45.31965255737305,30.358433723449707,12.36007213592529
