mode,load,0_densenet161-16,1_efficientnet_b5-8,2_mobilenet_v3_small-16
mps-uncap,0.8,34.995317459106445,30.533790588378906,16.3114070892334
mps-uncap,0.9,41.150569915771484,37.7202033996582,21.877527236938477
mps-uncap,1.0,32.33194351196289,26.7333984375,12.673616409301758
mps-uncap,0.5,36.92984580993652,27.971506118774414,15.428781509399414
mps-uncap,0.6,33.86688232421875,29.05869483947754,16.238689422607422
mps-uncap,0.7,33.066749572753906,28.835535049438477,14.70041275024414
mps-uncap,0.1,40.46010971069336,37.68587112426758,13.899803161621094
mps-uncap,0.2,34.732818603515625,30.737876892089844,14.112472534179688
mps-uncap,0.3,34.394264221191406,29.261350631713867,13.486862182617188
mps-uncap,0.4,42.09303855895996,30.281782150268555,14.189720153808594
