mode,load,0_alexnet-32,1_densenet161-32,2_mobilenet_v3_large-16
mps-uncap,0.8,0.007867813110351562,0.014066696166992188,0.011205673217773438
mps-uncap,0.9,0.00762939453125,0.014781951904296875,0.010967254638671875
mps-uncap,1.0,0.008821487426757812,0.0171661376953125,0.010967254638671875
mps-uncap,0.5,0.010013580322265625,0.014543533325195312,0.011682510375976562
mps-uncap,0.6,0.009775161743164062,0.015020370483398438,0.011444091796875
mps-uncap,0.7,0.008106231689453125,0.013828277587890625,0.009059906005859375
mps-uncap,0.1,0.011444091796875,0.023126602172851562,0.011682510375976562
mps-uncap,0.2,0.01049041748046875,0.024557113647460938,0.012874603271484375
mps-uncap,0.3,0.010251998901367188,0.015735626220703125,0.011920928955078125
mps-uncap,0.4,0.008344650268554688,0.014543533325195312,0.010967254638671875
