mode,load,0_alexnet-32,1_densenet161-32,2_mobilenet_v3_large-16
mps-uncap,0.8,30.20465373992922,338.1123208999633,70.87426185607896
mps-uncap,0.9,46.04078292846681,490.119295120239,88.66376876831055
mps-uncap,1.0,151.4316749572754,1930.026829242708,376.66987895965576
mps-uncap,0.5,11.37113571166992,110.53276538848905,23.754785060882575
mps-uncap,0.6,14.226326942443857,144.34632301330564,29.61321353912351
mps-uncap,0.7,20.98658084869389,236.02140426635734,41.047739982604966
mps-uncap,0.1,5.6093120574950905,55.301837921142535,13.501725196838377
mps-uncap,0.2,6.312170028686531,64.56134319305416,14.361755847930908
mps-uncap,0.3,8.23749542236328,89.30099725723265,17.33956813812255
mps-uncap,0.4,10.272836685180662,93.4731101989744,24.761629104614247
