mode,load,0_alexnet-32,1_densenet161-32,2_mobilenet_v3_large-16
mps-uncap,0.8,1.7199516296386719,30.473828315734863,1.1827945709228516
mps-uncap,0.9,4.947185516357422,56.78105354309082,7.1659088134765625
mps-uncap,1.0,32.242774963378906,335.23452281951904,109.3740463256836
mps-uncap,0.5,0.041961669921875,0.0591278076171875,0.047206878662109375
mps-uncap,0.6,0.04363059997558594,0.06222724914550781,0.048160552978515625
mps-uncap,0.7,0.49042701721191406,13.341903686523438,0.04696846008300781
mps-uncap,0.1,0.04744529724121094,0.061511993408203125,0.05555152893066406
mps-uncap,0.2,0.04363059997558594,0.06127357482910156,0.05340576171875
mps-uncap,0.3,0.04291534423828125,0.06103515625,0.04982948303222656
mps-uncap,0.4,0.041961669921875,0.06020069122314453,0.04792213439941406
