mode,load,0_alexnet-32,1_densenet161-32,2_mobilenet_v3_large-16
mps-uncap,0.8,6094.1905189039635,459.4892506169114,1087.882757998089
mps-uncap,0.9,6905.560621359609,525.1782431534253,1266.5272187809671
mps-uncap,1.0,7618.577561910216,572.7181062319745,1382.7525824813968
mps-uncap,0.5,3820.673504276189,304.78406308468055,701.6262061460018
mps-uncap,0.6,4541.121254476083,335.01125820579847,834.8232011942498
mps-uncap,0.7,5319.83396186487,436.84941190599164,982.1049968548635
mps-uncap,0.1,783.9945528296331,56.06218859132327,142.39209689325412
mps-uncap,0.2,1566.6611179623305,115.90803002353586,267.90314851808347
mps-uncap,0.3,2310.9990326225184,175.74610832438705,414.7295248136758
mps-uncap,0.4,3025.8985948222185,241.89442271255297,543.2935256568448
