mode,load,0_alexnet-32,1_densenet161-32,2_mobilenet_v3_large-16
mps-uncap,0.8,3.194093704223633,45.42553424835205,7.420539855957031
mps-uncap,0.9,3.4902095794677734,49.60799217224121,8.78608226776123
mps-uncap,1.0,3.730654716491699,53.82037162780762,10.366439819335938
mps-uncap,0.5,2.396821975708008,37.491679191589355,6.993412971496582
mps-uncap,0.6,2.4747848510742188,39.504051208496094,6.818652153015137
mps-uncap,0.7,3.0132532119750977,42.49846935272217,6.870150566101074
mps-uncap,0.1,2.2559165954589844,31.342506408691406,7.227897644042969
mps-uncap,0.2,2.2513866424560547,32.605648040771484,7.082939147949219
mps-uncap,0.3,2.2437572479248047,33.712148666381836,7.174849510192871
mps-uncap,0.4,2.260446548461914,35.63821315765381,6.880640983581543
