mode,load,0_alexnet-32,1_densenet161-32,2_mobilenet_v3_large-16
mps-uncap,0.8,4.733085632324219,51.84273719787598,12.797832489013672
mps-uncap,0.9,5.286264419555664,54.528045654296875,14.296293258666992
mps-uncap,1.0,5.639195442199707,54.83651161193848,15.799784660339357
mps-uncap,0.5,3.8690567016601562,42.80476570129394,10.736489295959467
mps-uncap,0.6,4.137873649597168,45.224285125732436,10.669612884521484
mps-uncap,0.7,4.6333312988281286,48.576903343200684,12.615513801574707
mps-uncap,0.1,2.3846626281738286,32.73124694824219,7.793331146240235
mps-uncap,0.2,2.967929840087892,35.49087047576904,7.765507698059082
mps-uncap,0.3,3.330326080322266,37.88659572601319,8.108901977539062
mps-uncap,0.4,3.688335418701172,40.13566970825195,9.727621078491214
