mode,load,0_alexnet-32,1_densenet161-32,2_mobilenet_v3_large-16
mps-uncap,0.8,44.65961456298828,419.7068214416504,127.97665596008301
mps-uncap,0.9,70.26100158691406,627.3696422576904,126.16276741027832
mps-uncap,1.0,183.90870094299316,2051.6271591186523,463.9320373535156
mps-uncap,0.5,20.076751708984375,158.74671936035156,35.917043685913086
mps-uncap,0.6,22.9949951171875,175.0659942626953,43.90764236450195
mps-uncap,0.7,42.88649559020996,289.42298889160156,78.94349098205566
mps-uncap,0.1,10.667800903320312,60.04953384399414,17.34304428100586
mps-uncap,0.2,10.95438003540039,66.38479232788086,25.76589584350586
mps-uncap,0.3,16.521930694580078,126.24335289001465,25.187015533447266
mps-uncap,0.4,21.029949188232422,121.84953689575195,34.85536575317383
