mode,load,0_alexnet-32,1_densenet161-32,2_mobilenet_v3_large-16
mps-uncap,0.8,2.1867752075195312,32.67955780029297,2.825498580932617
mps-uncap,0.9,2.1822452545166016,32.58800506591797,2.8176307678222656
mps-uncap,1.0,2.1965503692626953,37.82176971435547,2.849578857421875
mps-uncap,0.5,2.1834373474121094,30.315876007080078,2.8476715087890625
mps-uncap,0.6,2.1877288818359375,30.37548065185547,2.851724624633789
mps-uncap,0.7,2.1970272064208984,31.369447708129883,2.8443336486816406
mps-uncap,0.1,2.195596694946289,30.21717071533203,2.8243064880371094
mps-uncap,0.2,2.187013626098633,30.209779739379883,2.859354019165039
mps-uncap,0.3,2.1848678588867188,30.15279769897461,2.890348434448242
mps-uncap,0.4,2.1865367889404297,30.240774154663086,2.8467178344726562
