mode,load,0_alexnet-32,1_densenet161-32,2_mobilenet_v3_large-16
mps-uncap,0.8,2.1698474884033203,31.068086624145508,2.808809280395508
mps-uncap,0.9,2.1691322326660156,30.906200408935547,2.796173095703125
mps-uncap,1.0,2.1772384643554688,30.640602111816406,2.8319358825683594
mps-uncap,0.5,2.1719932556152344,30.199527740478516,2.834320068359375
mps-uncap,0.6,2.176523208618164,30.339479446411133,2.806425094604492
mps-uncap,0.7,2.176046371459961,30.806303024291992,2.8336048126220703
mps-uncap,0.1,2.1741390228271484,30.11465072631836,2.8121471405029297
mps-uncap,0.2,2.172708511352539,30.149459838867188,2.8314590454101562
mps-uncap,0.3,2.1708011627197266,30.071020126342773,2.8374195098876953
mps-uncap,0.4,2.1703243255615234,30.17902374267578,2.826213836669922
