mode,load,0_alexnet-32,1_densenet161-32,2_mobilenet_v3_large-16
mps-uncap,0.8,14.583826065063477,184.05709266662598,28.314828872680664
mps-uncap,0.9,24.114227294921882,323.44641685485857,49.08633232116699
mps-uncap,1.0,88.34359645843504,1276.349425315857,277.05185413360596
mps-uncap,0.5,6.258487701416016,70.56124210357666,15.337991714477539
mps-uncap,0.6,7.7443599700927725,81.98328018188478,16.223597526550293
mps-uncap,0.7,10.946846008300783,134.62710380554213,21.924686431884766
mps-uncap,0.1,2.748489379882813,33.171701431274414,8.153724670410158
mps-uncap,0.2,3.6645889282226576,39.379000663757324,9.896516799926758
mps-uncap,0.3,4.347896575927734,56.554675102233894,12.28973865509033
mps-uncap,0.4,5.541086196899414,59.77973937988281,14.363265037536621
