mode,load,0_alexnet-32,1_densenet161-32,2_mobilenet_v3_large-16
mps-uncap,0.8,5.231142044067383,74.90050792694092,10.607004165649414
mps-uncap,0.9,8.750677108764648,105.11660575866699,16.61503314971924
mps-uncap,1.0,36.28265857696533,386.94894313812256,120.38183212280273
mps-uncap,0.5,2.9001235961914062,39.55733776092529,7.441520690917969
mps-uncap,0.6,3.289341926574707,42.97637939453125,7.717728614807129
mps-uncap,0.7,4.073143005371094,55.89926242828369,9.177684783935547
mps-uncap,0.1,2.308368682861328,31.430959701538086,7.300853729248047
mps-uncap,0.2,2.3043155670166016,32.897114753723145,7.232189178466797
mps-uncap,0.3,2.3021697998046875,34.436583518981934,7.379055023193359
mps-uncap,0.4,2.480030059814453,36.859750747680664,7.224678993225098
