mode,load,0_alexnet-32,1_densenet161-32,2_mobilenet_v3_large-16
mps-uncap,0.8,6.763958930969239,54.66628313064575,16.945695877075195
mps-uncap,0.9,6.987161636352539,55.775184631347656,17.481052875518795
mps-uncap,1.0,7.150139808654784,55.64703941345215,18.373014926910404
mps-uncap,0.5,6.134676933288574,46.39878273010254,15.389437675476074
mps-uncap,0.6,6.362390518188485,50.244741439819336,15.523767471313475
mps-uncap,0.7,6.754434108734131,52.70490884780884,16.756486892700195
mps-uncap,0.1,4.971966743469203,34.064426422119126,11.953468322753904
mps-uncap,0.2,5.60133457183838,37.92557716369629,12.765908241271973
mps-uncap,0.3,5.805082321166992,41.799559593200684,14.375834465026854
mps-uncap,0.4,6.09760284423828,46.710562705993645,15.282442569732664
