mode,load,0_alexnet-32,1_densenet161-32,2_mobilenet_v3_large-16
mps-uncap,0.8,7.663488388061523,55.75680732727051,18.212080001831055
mps-uncap,0.9,7.800579071044922,57.9686164855957,19.122600555419922
mps-uncap,1.0,7.955074310302734,56.2129020690918,19.45352554321289
mps-uncap,0.5,7.305145263671875,52.2003173828125,18.024682998657227
mps-uncap,0.6,7.422924041748047,53.08175086975098,17.59815216064453
mps-uncap,0.7,7.844448089599609,53.8172721862793,18.570661544799805
mps-uncap,0.1,7.322788238525391,35.601139068603516,13.773202896118164
mps-uncap,0.2,8.086919784545898,39.19339179992676,14.642715454101562
mps-uncap,0.3,7.263422012329102,44.701576232910156,16.98899269104004
mps-uncap,0.4,7.216930389404297,53.406715393066406,17.364978790283203
