mode,load,0_alexnet-32,1_alexnet-32,2_alexnet-32,3_alexnet-32
mig,0.1,13.933897018432617,13.269901275634766,13.773441314697266,16.907215118408203
mig,0.2,13.25225830078125,13.246774673461914,13.282060623168945,17.14015007019043
mig,0.3,16.071557998657227,13.484477996826172,13.486146926879883,17.92454719543457
mig,0.4,14.842748641967773,14.768838882446289,15.009641647338867,17.321109771728516
mig,0.5,14.313936233520508,15.01321792602539,14.134883880615234,17.20285415649414
mig,0.6,14.09602165222168,14.61029052734375,16.461610794067383,17.19832420349121
mig,0.7,14.15872573852539,13.885974884033203,14.043092727661133,20.106077194213867
mig,0.8,15.567541122436523,16.318321228027344,15.959739685058594,20.110368728637695
mig,0.9,18.510103225708008,15.556812286376953,18.58210563659668,18.988370895385742
mig,1.0,14.207124710083008,14.210700988769531,14.225482940673828,16.805171966552734
