mode,load,0_alexnet-32,1_alexnet-32,2_alexnet-32,3_alexnet-32
mig,0.1,514.9513161267313,520.0730805296647,503.5720961163911,328.06320659326343
mig,0.2,1055.1923809852622,1014.6171510208677,1041.683306286323,589.3320921500748
mig,0.3,1492.8694772472713,1475.0239291376818,1517.6727524712226,887.9122800472155
mig,0.4,1988.1253999731298,2069.442727290451,1965.4537233882097,1187.6344443320097
mig,0.5,2544.5866668053354,2480.515095063343,2510.905595787505,1480.2105607855844
mig,0.6,3057.950740671507,3132.5381480966894,3009.93387695408,1785.0671854645448
mig,0.7,3583.269749815002,3604.6580239486107,3516.088933215854,2086.6058185695642
mig,0.8,4148.476695423351,4076.33438061212,4017.0079460087377,2487.6334917891068
mig,0.9,4238.822033077304,4190.695872929863,4090.184648330858,2688.235957501473
mig,1.0,4204.708580362598,4168.988257527539,4076.5192180458002,2725.2596388691004
