mode,load,0_alexnet-8,1_efficientnet_b5-2,2_resnet101-8
mps-uncap,0.8,3754.67184146492,98.56112794259577,516.627316268317
mps-uncap,0.9,4263.648672705953,111.14291331397125,578.0212110874363
mps-uncap,1.0,4362.784847115659,123.57560098551984,583.3014521536809
mps-uncap,0.5,2350.37564280039,62.56243536807296,325.5367835166683
mps-uncap,0.6,2857.1209543867703,75.87389890398215,386.5919990350253
mps-uncap,0.7,3288.875621113231,85.95885789712122,443.2075707688487
mps-uncap,0.1,473.0162988399857,13.328822741003538,66.47273336531389
mps-uncap,0.2,966.4299704682168,25.303520564359797,125.20571110622227
mps-uncap,0.3,1430.8272575060428,37.42139095432964,193.20044282953535
mps-uncap,0.4,1924.6238328526279,49.52070269756146,264.2036951215871
