mode,load,0_alexnet-8,1_efficientnet_b5-2,2_resnet101-8
mps-uncap,0.8,12.962841987609862,136.29240989685064,93.52273941040039
mps-uncap,0.9,61.46373748779297,143.10040473937988,704.0749073028564
mps-uncap,1.0,3554.723119735718,1776.2808322906494,5767.161965370178
mps-uncap,0.5,6.300854682922363,39.8076057434082,22.014689445495605
mps-uncap,0.6,9.343719482421879,51.897287368774414,27.71434783935547
mps-uncap,0.7,16.763687133789073,64.23368453979492,52.86407470703125
mps-uncap,0.1,2.578258514404297,30.724954605102546,24.26557540893555
mps-uncap,0.2,3.082346916198731,29.464602470397953,24.1014003753662
mps-uncap,0.3,3.5524368286132812,30.01794815063477,21.959733963012695
mps-uncap,0.4,5.074620246887207,31.854724884033203,23.73051643371582
