mode,load,0_alexnet-8,1_efficientnet_b5-2,2_resnet101-8
mps-uncap,0.8,36.89002990722656,257.7805519104004,177.0319938659668
mps-uncap,0.9,123.33798408508301,265.716552734375,812.3557567596436
mps-uncap,1.0,3883.068084716797,2075.857639312744,6478.633165359497
mps-uncap,0.5,19.22750473022461,105.29947280883789,61.58852577209473
mps-uncap,0.6,29.027938842773438,150.4671573638916,87.72873878479004
mps-uncap,0.7,49.87812042236328,197.27373123168945,143.92685890197754
mps-uncap,0.1,6.140232086181641,61.51986122131348,41.8088436126709
mps-uncap,0.2,8.335113525390625,52.83641815185547,51.61404609680176
mps-uncap,0.3,12.630462646484375,72.29328155517578,46.98657989501953
mps-uncap,0.4,16.776561737060547,99.73001480102539,63.58671188354492
