mode,load,0_densenet121-32,1_densenet169-32,2_inception_v3-4
mps-uncap,0.8,399.92737770080566,533.8432788848877,133.06307792663574
mps-uncap,0.9,1481.3258647918701,4201.224803924561,304.84867095947266
mps-uncap,1.0,5980.283737182617,3608.184814453125,6034.040927886963
mps-uncap,0.5,97.22042083740234,128.9539337158203,71.65861129760742
mps-uncap,0.6,193.0408477783203,151.15618705749512,76.84707641601562
mps-uncap,0.7,210.52265167236328,343.84632110595703,94.7868824005127
mps-uncap,0.1,28.45478057861328,51.21779441833496,27.774572372436523
mps-uncap,0.2,48.32053184509277,40.467262268066406,30.43198585510254
mps-uncap,0.3,52.141427993774414,67.9168701171875,44.07835006713867
mps-uncap,0.4,69.6096420288086,87.95785903930664,37.46819496154785
