mode,load,0_densenet121-32,1_densenet169-32,2_inception_v3-4
mps-uncap,0.8,67.26670265197754,98.48141670227051,22.914886474609375
mps-uncap,0.9,429.58080768585205,2371.7312812805176,44.75522041320801
mps-uncap,1.0,3388.6306285858154,1188.4734630584717,2785.1598262786865
mps-uncap,0.5,28.449296951293945,37.289977073669434,14.316916465759277
mps-uncap,0.6,32.39274024963379,40.227413177490234,16.092777252197266
mps-uncap,0.7,43.59292984008789,56.33115768432617,17.153501510620117
mps-uncap,0.1,22.960186004638672,30.70974349975586,19.866466522216797
mps-uncap,0.2,21.00527286529541,25.19369125366211,16.294240951538086
mps-uncap,0.3,21.207094192504883,26.842117309570312,15.457868576049805
mps-uncap,0.4,23.621559143066406,33.00511837005615,14.27316665649414
