mode,load,0_densenet121-32,1_densenet169-32,2_inception_v3-4
mps-uncap,0.8,39.28208351135254,53.45559120178223,31.6774845123291
mps-uncap,0.9,45.89509963989258,57.96456336975098,25.884389877319336
mps-uncap,1.0,45.755624771118164,50.841569900512695,28.87415885925293
mps-uncap,0.5,39.25204277038574,49.09777641296387,28.21183204650879
mps-uncap,0.6,39.693355560302734,50.30250549316406,27.33302116394043
mps-uncap,0.7,40.02952575683594,52.70719528198242,25.201797485351562
mps-uncap,0.1,48.84028434753418,60.44626235961914,32.12785720825195
mps-uncap,0.2,37.27912902832031,49.39913749694824,26.401758193969727
mps-uncap,0.3,39.484262466430664,50.2166748046875,26.462793350219727
mps-uncap,0.4,38.75422477722168,48.742055892944336,27.653217315673828
